SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
DLL,813,ALLSHR,59.0,59.0,59.0,56.57,56.89,-2.11,-0.0358,33654
ARUJ,829,ALLSHR,11.74,12.0,12.13,10.71,11.05,-0.69,-0.0588,33515
SEPL,822,ALLSHR,150.07,150.0,150.0,142.2,143.49,-6.58,-0.0438,33063
BFMOD,819,"ALLSHR,KMIALLSHR",22.22,22.22,22.8,21.5,21.92,-0.3,-0.0135,32811
HBLTETF,837,,104.55,103.92,104.02,103.9,104.0,-0.55,-0.0053,31500
LSEFSL,813,ALLSHR,21.85,21.05,22.45,19.85,20.04,-1.81,-0.0828,31286
PASM,829,ALLSHR,13.6,14.0,14.0,12.24,12.26,-1.34,-0.0985,30552
PKGP,824,ALLSHR,40.8,41.18,41.18,37.8,39.39,-1.41,-0.0346,30420
HABSM,826,ALLSHR,81.0,77.15,81.31,77.15,79.26,-1.74,-0.0215,30385
MRNS,826,"ALLSHR,KMIALLSHR",64.6,63.99,64.5,61.5,62.05,-2.55,-0.0395,30170
BRRG,838,ALLSHR,45.88,45.1,47.94,45.0,45.5,-0.38,-0.0083,29951
DNCC,804,"ALLSHR,KMIALLSHR",18.85,18.8,18.8,18.01,18.06,-0.79,-0.0419,29253
SCBPL,807,"ALLSHR,KSE100,KSE100PR",65.7,65.0,65.95,60.02,62.56,-3.14,-0.0478,29091
CPPL,822,"ALLSHR,KMIALLSHR",100.32,100.0,101.0,95.27,97.45,-2.87,-0.0286,28639
FEROZ,823,"ALLSHR,KMIALLSHR",391.89,385.18,391.74,365.0,366.9,-24.99,-0.0638,28568
JSRR,836,ALLSHR,10.85,10.9,10.94,10.75,10.8,-0.05,-0.0046,28542
MACTER,823,"ALLSHR,KMIALLSHR",287.34,283.99,283.99,272.0,274.78,-12.56,-0.0437,27652
AGTL,801,"ALLSHR,KMIALLSHR",394.96,395.97,395.97,378.01,382.28,-12.68,-0.0321,27252
SLYT,830,ALLSHR,16.07,14.61,16.89,14.46,14.46,-1.61,-0.1002,27057
SERT,830,"ALLSHR,KMIALLSHR",63.48,69.83,69.83,69.83,69.83,6.35,0.1,26686
HINO,801,"ALLSHR,KMIALLSHR",433.3,434.6,434.6,405.0,417.47,-15.83,-0.0365,25824
SRVI,816,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",2102.0,2075.0,2129.0,2010.13,2054.1,-47.9,-0.0228,25725
NRSL,805,"ALLSHR,KMIALLSHR",34.5,34.06,35.0,33.1,33.87,-0.63,-0.0183,25648
CRTM,829,"ALLSHR,KMIALLSHR",82.8,80.1,81.9,80.0,80.0,-2.8,-0.0338,24731
JSGBETF,837,,42.17,41.5,41.5,40.5,40.5,-1.67,-0.0396,24000
OLPM,819,"ALLSHR,KMIALLSHR",24.88,24.99,25.19,24.77,24.8,-0.08,-0.0032,23695
UBDL,818,"ALLSHR,KMIALLSHR",24.9,24.0,24.0,22.41,23.4,-1.5,-0.0602,22478
NEXT,813,ALLSHR,16.18,15.36,16.85,15.36,15.62,-0.56,-0.0346,22371
KSTM,830,"ALLSHR,KMIALLSHR",12.9,13.47,13.48,11.9,12.39,-0.51,-0.0395,22208
BWCL,804,"ALLSHR,KSE100,KSE100PR",499.47,499.0,499.0,488.0,489.47,-10.0,-0.02,22024
JATM,830,"ALLSHR,KMIALLSHR",39.11,39.0,39.0,36.0,36.57,-2.54,-0.0649,21862
PCAL,803,ALLSHR,174.26,174.0,174.0,160.0,163.36,-10.9,-0.0625,20551
ATBA,802,"ALLSHR,KMIALLSHR",216.13,216.99,216.99,208.7,208.95,-7.18,-0.0332,19670
HAEL,829,"ALLSHR,KMIALLSHR",28.67,28.67,28.67,26.8,26.88,-1.79,-0.0624,19637
PRET,830,ALLSHR,551.44,580.0,580.0,503.0,505.41,-46.03,-0.0835,19305
INDU,801,"ALLSHR,KSE100,KSE100PR",1970.16,1970.16,1979.8,1936.0,1938.29,-31.87,-0.0162,19257
GADT,830,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",301.01,295.05,296.0,280.0,288.14,-12.87,-0.0428,19106
DEL,813,ALLSHR,20.54,20.2,20.25,19.7,19.73,-0.81,-0.0394,18138
ARPL,805,"ALLSHR,KMIALLSHR",388.36,388.99,388.99,370.0,372.58,-15.78,-0.0406,17409
DIIL,818,ALLSHR,63.58,60.51,61.0,60.0,60.1,-3.48,-0.0547,17055
FECM,819,"ALLSHR,KMIALLSHR",17.93,17.0,18.41,16.9,17.05,-0.88,-0.0491,17046
HWQS,826,ALLSHR,20.0,18.61,20.0,18.61,19.02,-0.98,-0.049,16474
RUPL,827,"ALLSHR,KMIALLSHR",31.78,31.0,31.0,29.2,29.33,-2.45,-0.0771,16329
GFIL,829,"ALLSHR,KMIALLSHR",31.07,30.81,30.81,30.75,30.76,-0.31,-0.01,16200
SSOM,834,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",481.26,479.89,479.89,446.2,452.59,-28.67,-0.0596,16189
IDRT,830,"ALLSHR,KMIALLSHR",41.18,41.0,41.0,38.0,38.67,-2.51,-0.0609,15557
GATI,827,"ALLSHR,KMIALLSHR",87.14,87.0,87.94,80.11,84.11,-3.03,-0.0348,15044
ABOT,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",950.35,940.0,940.0,925.01,926.63,-23.72,-0.025,14501
REDCO,829,"ALLSHR,KMIALLSHR",34.69,32.01,32.51,31.22,31.24,-3.45,-0.0994,14064
PKGS,822,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",799.99,792.0,799.95,780.0,782.35,-17.64,-0.022,13937
HGFA,806,"ALLSHR,KSE100,KSE100PR",17.13,17.03,17.7,16.52,16.78,-0.35,-0.0204,13853
BWHL,802,"ALLSHR,KMIALLSHR",224.21,223.0,223.0,219.0,222.03,-2.18,-0.0097,13805
FIL,816,"ALLSHR,KMIALLSHR",360.26,358.0,396.29,325.1,396.29,36.03,0.1,12680
SUTM,830,ALLSHR,117.43,117.43,118.0,108.0,112.73,-4.7,-0.04,12591
MSOT,839,ALLSHR,126.49,121.0,124.0,118.7,120.51,-5.98,-0.0473,12559
TSMF,806,ALLSHR,17.77,17.25,17.75,17.0,17.05,-0.72,-0.0405,12401
PNSC,833,ALLSHR,596.11,585.07,590.0,572.0,574.71,-21.4,-0.0359,12392
ANTM,829,"ALLSHR,KMIALLSHR",53.6,53.56,53.56,48.55,48.74,-4.86,-0.0907,12023
MUREB,810,"ALLSHR,KSE100,KSE100PR",924.99,915.0,919.9,880.18,904.55,-20.44,-0.0221,11751
AGIL,802,"ALLSHR,KMIALLSHR",160.0,159.0,159.99,152.11,154.5,-5.5,-0.0344,11682
BNWM,835,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",68.15,66.3,67.5,66.0,66.39,-1.76,-0.0258,10829
KPUS,826,"ALLSHR,KMIALLSHR",2282.89,2385.03,2475.0,2350.11,2441.48,158.59,0.0695,10799
STYLERS,839,"ALLSHR,KMIALLSHR",51.75,56.49,56.49,48.55,50.72,-1.03,-0.0199,10796
TOWL,829,"ALLSHR,KMIALLSHR",125.18,125.01,125.01,118.0,122.67,-2.51,-0.02,10214
ATLH,801,"ALLSHR,KSE100,KSE100PR",1691.24,1690.0,1690.0,1625.0,1648.64,-42.6,-0.0252,9912
PAKD,828,"ALLSHR,KMIALLSHR",130.01,131.99,131.99,122.0,125.18,-4.83,-0.0372,9890
ATIL,812,ALLSHR,75.9,75.5,76.3,75.01,75.54,-0.36,-0.0047,9811
SPL,805,"ALLSHR,KMIALLSHR",64.69,64.0,64.0,62.11,62.95,-1.74,-0.0269,9760
FHAM,819,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",33.1,33.1,33.94,31.0,32.34,-0.76,-0.023,9362
SHSML,826,"ALLSHR,KMIALLSHR",390.01,400.0,407.99,387.12,387.19,-2.82,-0.0072,9336
FTMM,819,"ALLSHR,KMIALLSHR",16.92,17.0,17.2,16.02,16.34,-0.58,-0.0343,9079
BOK,807,ALLSHR,33.56,32.72,33.7,32.02,32.48,-1.08,-0.0322,8890
PAKT,832,"ALLSHR,KSE100,KSE100PR",1467.64,1471.8,1480.0,1419.0,1426.6,-41.04,-0.028,8766
SITC,805,"ALLSHR,KMIALLSHR",845.97,840.0,848.0,786.0,831.83,-14.14,-0.0167,8645
RICL,812,ALLSHR,12.31,12.3,12.3,11.75,11.76,-0.55,-0.0447,8611
PPP,822,"ALLSHR,KMIALLSHR",139.23,142.98,142.98,133.0,133.48,-5.75,-0.0413,8588
EXIDE,802,"ALLSHR,KMIALLSHR",528.92,525.05,529.0,490.0,512.44,-16.48,-0.0312,8480
UVIC,812,ALLSHR,25.0,24.5,24.99,24.0,24.01,-0.99,-0.0396,8443
DWAE,802,ALLSHR,24.12,24.9,24.9,23.31,23.5,-0.62,-0.0257,8424
FRSM,826,"ALLSHR,KMIALLSHR",49.17,47.3,47.4,46.05,46.51,-2.66,-0.0541,8393
