SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
GGGL,811,"ALLSHR,KMIALLSHR",7.46,7.46,7.77,7.46,7.65,0.19,2.55%,119116
SPEL,822,"ALLSHR,KMIALLSHR",34.82,35.3,35.95,34.83,35.25,0.43,1.23%,118967
JGICL,812,ALLSHR,70.02,72.99,73.5,71.5,73.32,3.3,4.71%,118758
CPPL,822,"ALLSHR,KMIALLSHR",70.83,72.98,73.99,71.01,72.97,2.14,3.02%,117576
MSOT,829,ALLSHR,51.22,52.99,56.34,52.0,56.28,5.06,9.88%,113241
PKGI,812,ALLSHR,33.46,33.24,36.81,32.0,36.03,2.57,7.68%,110406
CLOV,810,"ALLSHR,KMIALLSHR",56.06,57.5,57.95,56.3,57.54,1.48,2.64%,108839
AGP,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",185.35,186.0,193.5,185.35,192.08,6.73,3.63%,106776
SGPL,824,"ALLSHR,KMIALLSHR",14.28,14.33,15.25,14.25,14.88,0.6,4.20%,106415
BFBIO,823,"ALLSHR,KMIALLSHR",129.64,133.0,134.8,130.15,132.49,2.85,2.20%,105836
RPL,822,"ALLSHR,KMIALLSHR",13.51,13.96,14.2,13.5,13.59,0.08,0.59%,105656
PAKQATAR,812,"ALLSHR,KMIALLSHR",17.52,18.25,18.49,17.52,18.18,0.66,3.77%,103251
HTL,821,"ALLSHR,KMIALLSHR",35.14,35.99,36.4,35.5,36.0,0.86,2.45%,102430
CSAP,808,"ALLSHR,KMIALLSHR",79.93,82.9,83.9,81.0,83.54,3.61,4.52%,100728
GTYR,802,"ALLSHR,KMIALLSHR",24.0,24.01,25.0,23.7,24.6,0.6,2.50%,100540
BAHL,807,"ALLSHR,BKTI,JSGBKTI,KSE100,KSE100PR,NBPPGI,NITPGI,PSXDIV20",150.1,151.5,153.0,150.8,152.0,1.9,1.27%,100279
ANL,829,"ACI,ALLSHR,KMIALLSHR",8.42,8.5,8.69,8.46,8.58,0.16,1.90%,98984
TGL,811,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",136.08,137.0,142.66,137.0,141.42,5.34,3.92%,93360
IPAKXB,822,"ALLSHR,KMIALLSHR",24.22,24.3,24.9,24.0,24.79,0.57,2.35%,92132
ZUMA,828,ALLSHR,59.28,63.75,63.75,58.6,59.0,-0.28,-0.47%,91429
SERT,830,"ALLSHR,KMIALLSHR",29.79,30.49,30.49,27.0,27.51,-2.28,-7.65%,90763
ILP,829,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR",76.69,76.0,78.99,76.0,77.07,0.38,0.50%,90743
BGL,811,ALLSHR,9.27,9.35,9.35,9.2,9.32,0.05,0.54%,90667
AGSML,826,ALLSHR,6.51,6.74,6.74,6.46,6.64,0.13,2.00%,89305
DFSM,830,ALLSHR,4.98,5.29,5.29,4.98,5.1,0.12,2.41%,81122
IBLHL,823,"ALLSHR,KMIALLSHR",41.09,41.04,43.51,41.04,43.03,1.94,4.72%,80743
ADMM,829,ALLSHR,48.34,48.1,48.8,46.91,47.0,-1.34,-2.77%,79811
HCAR,801,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",163.15,163.0,167.0,163.0,164.18,1.03,0.63%,78919
TRSM,819,"ALLSHR,KMIALLSHR",13.16,14.48,14.48,14.48,14.48,1.32,10.03%,78363
PINL,812,ALLSHR,6.98,7.16,7.35,6.7,7.07,0.09,1.29%,74920
CTM,830,ALLSHR,5.33,5.6,5.85,5.02,5.35,0.02,0.38%,72079
KOHP,824,ALLSHR,22.51,23.49,23.99,22.72,23.35,0.84,3.73%,71479
PABC,818,"ALLSHR,KSE100,KSE100PR",92.62,95.5,95.99,87.0,87.99,-4.63,-5.00%,69972
IML,813,ALLSHR,25.48,23.06,26.98,23.05,26.81,1.33,5.22%,69878
GRR,836,ALLSHR,19.63,19.69,19.97,19.5,19.7,0.07,0.36%,69452
ICIBL,813,ALLSHR,3.75,3.8,3.87,3.72,3.82,0.07,1.87%,69255
FANM,819,"ALLSHR,KMIALLSHR",4.38,4.5,5.3,4.5,5.01,0.63,14.38%,68593
ABL,807,"ALLSHR,KSE100,KSE100PR",170.01,173.98,173.98,170.0,170.07,0.06,0.03%,68169
PQGTL,812,"ALLSHR,KMIALLSHR",11.34,11.5,11.69,11.4,11.6,0.26,2.29%,67723
GFIL,829,"ALLSHR,KMIALLSHR",18.24,18.45,19.75,17.11,18.27,0.03,0.16%,65574
SHFA,818,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",474.18,479.7,479.99,470.0,478.88,4.7,0.99%,65340
FML,829,"ALLSHR,KMIALLSHR",37.94,37.1,39.7,37.1,39.26,1.32,3.48%,63104
NCL,829,ALLSHR,32.81,34.75,34.75,32.51,33.08,0.27,0.82%,61260
SHDT,830,"ALLSHR,KMIALLSHR",40.84,40.01,40.29,38.0,38.23,-2.61,-6.39%,60598
FTSM,819,"ALLSHR,KMIALLSHR",19.2,21.12,21.12,21.0,21.12,1.92,10.00%,58811
SBL,807,ALLSHR,11.2,11.4,11.4,11.0,11.28,0.08,0.71%,58222
AGIC,812,ALLSHR,35.0,35.0,35.4,34.8,35.03,0.03,0.09%,57900
GEMSPNLXB,828,"ALLSHR,KMIALLSHR",77.84,77.9,80.0,77.0,79.73,1.89,2.43%,57841
PNSC,833,ALLSHR,433.59,445.0,450.0,431.3,438.8,5.21,1.20%,57757
KOIL,829,ALLSHR,60.37,62.27,62.27,59.7,59.81,-0.56,-0.93%,56970
ASTM,830,ALLSHR,13.99,13.95,14.5,13.51,14.1,0.11,0.79%,55867
PIL,812,ALLSHR,3.86,3.87,3.9,3.64,3.89,0.03,0.78%,55732
SKRS,826,ALLSHR,19.76,20.45,21.0,20.01,20.73,0.97,4.91%,55044
DSIL,830,ALLSHR,6.24,6.48,6.65,6.24,6.4,0.16,2.56%,54638
DOL,805,"ALLSHR,KMIALLSHR",27.29,27.37,27.5,27.01,27.37,0.08,0.29%,54546
FASM,829,ALLSHR,371.01,384.98,405.0,360.11,404.96,33.95,9.15%,53632
GHGL,811,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",30.25,30.01,31.0,30.01,30.74,0.49,1.62%,53019
HINOON,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",880.03,899.89,900.0,871.2,877.68,-2.35,-0.27%,48573
SEPL,822,ALLSHR,130.0,130.08,135.9,130.0,132.0,2.0,1.54%,47929
BLUEX,833,"ALLSHR,KMIALLSHR",6.25,6.25,6.39,6.15,6.19,-0.06,-0.96%,47760
JSCL,813,ALLSHR,18.39,18.5,18.7,18.3,18.45,0.06,0.33%,47101
JSGBETF,837,,33.99,34.67,36.39,34.67,35.08,1.09,3.21%,45500
ORM,819,"ALLSHR,KMIALLSHR",10.0,10.38,10.38,9.9,10.27,0.27,2.70%,45241
BPL,821,"ALLSHR,KMIALLSHR",22.31,24.53,24.54,23.0,23.22,0.91,4.08%,44899
NICL,805,ALLSHR,149.52,160.0,160.0,151.0,154.89,5.37,3.59%,43079
