SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
FTSM,819,"ALLSHR,KMIALLSHR",28.11,30.9,30.9,25.3,26.32,-1.79,-6.37%,159081
ALTN,824,ALLSHR,8.77,8.65,8.9,8.4,8.43,-0.34,-3.88%,155097
POL,820,"ALLSHR,JSMFI,KSE100,KSE100PR,KSE30,PSXDIV20",640.28,639.99,642.0,628.0,630.88,-9.4,-1.47%,151206
KTML,829,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",46.49,46.5,47.33,43.55,44.79,-1.7,-3.66%,149037
SGF,816,"ALLSHR,KMIALLSHR",89.97,88.11,88.95,86.01,86.56,-3.41,-3.79%,146646
FLYNG,804,"ALLSHR,KMIALLSHR",44.52,44.75,44.75,42.11,42.51,-2.01,-4.52%,144355
CTM,830,ALLSHR,6.42,6.28,6.6,6.07,6.09,-0.33,-5.14%,139497
BGL,811,ALLSHR,9.69,9.65,9.89,9.11,9.26,-0.43,-4.44%,139379
CHBL,829,ALLSHR,8.27,8.12,8.44,8.0,8.04,-0.23,-2.78%,137395
INIL,808,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR",147.59,147.59,152.99,147.0,147.87,0.28,0.19%,137388
CEPB,822,"ALLSHR,KMIALLSHR",29.04,29.05,29.05,27.5,27.57,-1.47,-5.06%,136589
IMAGE,827,"ALLSHR,KMIALLSHR,PSXDIV20",21.43,21.43,21.43,20.81,20.89,-0.54,-2.52%,136446
LIVEN,823,"ALLSHR,KMIALLSHR",35.0,34.5,34.75,33.54,33.77,-1.23,-3.51%,134561
PQGTL,812,"ALLSHR,KMIALLSHR",11.65,11.65,11.65,11.29,11.3,-0.35,-3.00%,129429
QTECH,828,ALLSHR,36.98,36.98,36.98,33.99,34.34,-2.64,-7.14%,126607
RPL,822,"ALLSHR,KMIALLSHR",14.04,14.04,14.04,13.4,13.53,-0.51,-3.63%,123498
OLPM,819,"ALLSHR,KMIALLSHR",22.0,22.0,22.08,21.9,22.0,0.0,0.00%,119970
